epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33463,2.03219,2.9119,2.56457,0.03222,0.44615,0.06761,0.0219,1.94268,2.7152,2.58792,4e-05,4e-05,4e-05
2,11.575,2.07201,2.90529,2.63976,0.04611,0.63846,0.10465,0.03535,1.69546,2.62582,2.43168,9.901e-05,9.901e-05,9.901e-05
3,16.9838,1.53452,2.65666,2.2557,0.51097,0.42308,0.45712,0.22457,1.20821,2.16521,2.21272,0.000156832,0.000156832,0.000156832
4,23.9846,1.25795,2.15557,2.20038,0.561,0.76923,0.62674,0.34092,1.25502,1.72225,2.56781,0.000213466,0.000213466,0.000213466
5,29.8883,1.22152,1.73715,2.19078,0.5899,0.78462,0.65625,0.3593,1.18246,1.78897,2.39499,0.000268912,0.000268912,0.000268912
6,36.5879,1.15698,1.44487,1.97875,0.56372,0.86923,0.68118,0.39902,1.05845,2.31853,2.10615,0.00032317,0.00032317,0.00032317
7,42.4692,1.09819,1.37167,1.97593,0.57383,0.84935,0.71298,0.42667,1.00789,2.22803,1.92438,0.00037624,0.00037624,0.00037624
8,47.5297,1.06407,1.20823,1.85896,0.59581,0.84615,0.73413,0.45552,0.97407,1.87483,1.85466,0.000428122,0.000428122,0.000428122
9,52.4355,1.07973,1.10785,1.80419,0.57564,0.96923,0.71475,0.45953,0.99174,1.69567,1.84756,0.000478816,0.000478816,0.000478816
10,55.8952,1.0422,1.06121,1.83193,0.60856,0.96923,0.72146,0.47624,0.98356,1.61238,1.83541,0.000528322,0.000528322,0.000528322
11,59.0149,1.05572,0.98517,1.78142,0.70447,0.95385,0.75998,0.52753,0.94456,1.49637,1.75887,0.00057664,0.00057664,0.00057664
12,61.8831,1.04966,0.96515,1.84072,0.70663,0.96923,0.77877,0.54428,0.94912,1.32608,1.73239,0.00062377,0.00062377,0.00062377
13,65.1242,1.00322,0.92927,1.7152,0.73341,0.98462,0.78444,0.55754,0.95467,1.19352,1.68358,0.000669712,0.000669712,0.000669712
14,68.2232,0.99656,0.90029,1.70204,0.7188,0.97692,0.77568,0.55072,0.97538,1.16162,1.69275,0.000714466,0.000714466,0.000714466
15,70.5624,0.97802,0.88729,1.72713,0.73732,0.98462,0.80261,0.59088,0.9275,1.10889,1.69093,0.000758032,0.000758032,0.000758032
16,72.929,0.97565,0.8599,1.72311,0.72944,0.98462,0.82526,0.59703,0.91235,1.10631,1.67675,0.00080041,0.00080041,0.00080041
17,75.6212,1.01626,0.87814,1.7185,0.71918,0.99231,0.82965,0.60092,0.9467,1.13787,1.65431,0.0008416,0.0008416,0.0008416
18,78.8409,0.95767,0.86882,1.68603,0.72758,0.99231,0.82054,0.60043,0.93742,1.14391,1.66227,0.000881602,0.000881602,0.000881602
19,81.8079,0.97547,0.85933,1.76887,0.75,0.99229,0.81231,0.61878,0.90229,1.01499,1.61917,0.000920416,0.000920416,0.000920416
20,84.6843,0.96379,0.80436,1.65191,0.73509,0.99231,0.7955,0.60547,0.91117,0.96283,1.71093,0.000958042,0.000958042,0.000958042
21,87.0962,0.944,0.787,1.65572,0.74102,0.99231,0.79662,0.61192,0.87886,0.89659,1.65596,0.00099448,0.00099448,0.00099448
22,89.4724,0.92319,0.77571,1.6338,0.74452,0.99231,0.7958,0.60795,0.88612,0.88204,1.63757,0.00102973,0.00102973,0.00102973
23,92.4032,0.9228,0.78783,1.654,0.74482,0.99231,0.80749,0.60279,0.91735,0.8638,1.64508,0.00106379,0.00106379,0.00106379
24,95.7354,0.92284,0.78518,1.63241,0.74549,0.99231,0.8333,0.6291,0.88208,0.82308,1.63026,0.00109667,0.00109667,0.00109667
25,98.4286,0.91764,0.75603,1.58079,0.74906,0.99231,0.842,0.6372,0.85608,0.81278,1.67343,0.00112835,0.00112835,0.00112835
26,100.949,0.91748,0.75775,1.67834,0.74906,0.99231,0.82405,0.62883,0.84791,0.80499,1.65363,0.00115885,0.00115885,0.00115885
27,103.397,0.88658,0.75565,1.64341,0.74519,0.99231,0.8322,0.63998,0.86756,0.78123,1.64899,0.00118816,0.00118816,0.00118816
