epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5663,1.22805,1.00003,1.80769,0.08548,0.93005,0.98875,0.94754,0.65446,1.07002,0.55242,1.42479,0.0677,0.000663704,0.000663704,0.000663704
2,177.767,1.01604,0.50526,1.41199,0.06506,0.93267,0.99096,0.95324,0.68339,0.99262,0.52109,1.40155,0.06282,0.0013172,0.0013172,0.0013172
3,260.532,1.00321,0.47688,1.41413,0.06302,0.93223,0.98951,0.95715,0.69307,0.98922,0.50766,1.39537,0.0618,0.0019575,0.0019575,0.0019575
4,345.778,0.99382,0.46621,1.40175,0.06265,0.93611,0.98801,0.96872,0.69554,0.992,0.4595,1.37552,0.06154,0.0019406,0.0019406,0.0019406
5,427.819,0.97818,0.44037,1.39853,0.06042,0.9322,0.98901,0.97034,0.69946,0.98854,0.47266,1.38576,0.06334,0.0019208,0.0019208,0.0019208
6,510.141,0.97087,0.43599,1.39075,0.05998,0.94453,0.9852,0.97763,0.70194,0.97998,0.44854,1.37988,0.06329,0.001901,0.001901,0.001901
7,596.793,0.95656,0.429,1.38356,0.05942,0.93445,0.98853,0.97507,0.70582,0.97857,0.43836,1.37773,0.06175,0.0018812,0.0018812,0.0018812
8,677.672,0.95499,0.42112,1.3745,0.05828,0.95701,0.9824,0.97792,0.71449,0.95566,0.41808,1.35616,0.06003,0.0018614,0.0018614,0.0018614
9,761.182,0.95051,0.4163,1.37931,0.05779,0.93229,0.99046,0.96886,0.70059,0.96497,0.44831,1.37484,0.05953,0.0018416,0.0018416,0.0018416
10,844.869,0.94204,0.4042,1.36228,0.05743,0.93636,0.99027,0.97163,0.71108,0.95902,0.43651,1.35786,0.06018,0.0018218,0.0018218,0.0018218
11,926.209,0.94222,0.40431,1.36976,0.05693,0.93108,0.99201,0.96662,0.70782,0.95229,0.43673,1.35575,0.05732,0.001802,0.001802,0.001802
12,1008.16,0.93441,0.39878,1.36161,0.05673,0.96067,0.98056,0.98137,0.71719,0.943,0.40305,1.34698,0.05911,0.0017822,0.0017822,0.0017822
13,1092.02,0.9299,0.4002,1.35753,0.05678,0.93391,0.99062,0.97084,0.71388,0.93957,0.42979,1.36745,0.05707,0.0017624,0.0017624,0.0017624
14,1176.55,0.93179,0.3957,1.35862,0.05665,0.93418,0.98905,0.97006,0.71025,0.94388,0.43985,1.3619,0.05983,0.0017426,0.0017426,0.0017426
15,1255.18,0.92603,0.39402,1.35715,0.05589,0.95019,0.98115,0.98298,0.72111,0.94284,0.41102,1.34443,0.05839,0.0017228,0.0017228,0.0017228
16,1339.86,0.91871,0.38517,1.34935,0.05539,0.93095,0.99201,0.96446,0.69924,0.94539,0.44391,1.37233,0.05956,0.001703,0.001703,0.001703
17,1425.67,0.92559,0.39378,1.35083,0.05642,0.95822,0.98439,0.97984,0.71623,0.9448,0.39183,1.34734,0.05892,0.0016832,0.0016832,0.0016832
18,1505.7,0.91636,0.38481,1.342,0.05504,0.95852,0.98488,0.98135,0.72084,0.93624,0.37889,1.33832,0.05725,0.0016634,0.0016634,0.0016634
19,1588.2,0.92085,0.38905,1.34679,0.05528,0.93194,0.9901,0.96085,0.70238,0.93763,0.42838,1.34761,0.05791,0.0016436,0.0016436,0.0016436
20,1673.75,0.91418,0.38617,1.34214,0.05497,0.95288,0.98398,0.98268,0.72107,0.93393,0.39372,1.33948,0.05728,0.0016238,0.0016238,0.0016238
21,1755.31,0.91091,0.38185,1.33991,0.05438,0.95476,0.98283,0.98063,0.71769,0.93995,0.38878,1.34439,0.0604,0.001604,0.001604,0.001604
22,1834.57,0.90809,0.3806,1.34018,0.05403,0.932,0.99131,0.95585,0.70182,0.94879,0.43086,1.34519,0.05758,0.0015842,0.0015842,0.0015842
23,1921.09,0.9058,0.38007,1.33677,0.05385,0.95495,0.98707,0.9794,0.71792,0.93181,0.39838,1.34708,0.05775,0.0015644,0.0015644,0.0015644
24,2003.5,0.90243,0.37218,1.33216,0.05351,0.93053,0.99147,0.97546,0.71225,0.93825,0.4212,1.33064,0.0575,0.0015446,0.0015446,0.0015446
25,2083.67,0.90444,0.37376,1.33479,0.05333,0.94559,0.98645,0.9824,0.71994,0.92835,0.39019,1.34965,0.05528,0.0015248,0.0015248,0.0015248
26,2169.95,0.90203,0.37289,1.33529,0.05318,0.94409,0.98662,0.97284,0.7135,0.94981,0.41453,1.35426,0.05822,0.001505,0.001505,0.001505
27,2252.49,0.89726,0.37031,1.32714,0.05311,0.95328,0.98645,0.97611,0.71734,0.95116,0.38528,1.34436,0.05694,0.0014852,0.0014852,0.0014852
28,2333.8,0.89421,0.3672,1.32751,0.05261,0.94141,0.98419,0.98009,0.71407,0.9345,0.40637,1.34761,0.05608,0.0014654,0.0014654,0.0014654
29,2416.78,0.89863,0.37767,1.33199,0.05255,0.95383,0.98721,0.97818,0.71542,0.94541,0.39154,1.35462,0.05838,0.0014456,0.0014456,0.0014456
30,2500.16,0.89018,0.36538,1.32163,0.05259,0.93266,0.99157,0.96462,0.70931,0.94383,0.41824,1.35075,0.05664,0.0014258,0.0014258,0.0014258
31,2580.79,0.88826,0.36368,1.32543,0.05186,0.94999,0.98992,0.97751,0.71555,0.9482,0.39206,1.36572,0.05874,0.001406,0.001406,0.001406
32,2663.02,0.89023,0.36376,1.32321,0.05191,0.95729,0.98992,0.97329,0.71698,0.93439,0.38521,1.33789,0.05709,0.0013862,0.0013862,0.0013862
33,2748.96,0.88899,0.36048,1.31608,0.05187,0.95818,0.98745,0.98026,0.72394,0.92423,0.37041,1.33088,0.05619,0.0013664,0.0013664,0.0013664
34,2829.8,0.88324,0.35531,1.3162,0.05151,0.94903,0.98674,0.97324,0.71588,0.94354,0.3984,1.34162,0.05835,0.0013466,0.0013466,0.0013466
